ARTISTA,TITULO,FORMATO,DATA,PREÇO,ESTADO,ESTILO,PAÍS,LINK,NUM CAT,COMENTARIO
VIL GARROTE,Torturas Macabras,CD,27/5/2022,\,sold out,Death,Portugal,https://selvajariarecords.bandcamp.com/album/torturas-macabras,SR001CD001,"One Man Project old school Death, FFO: old Genocidio (bra), old Pentacrostic (bra)"
PORTAL DO INFERNO,Um Caminho Sem Retorno,CD,10/6/2022,\,sold out,Doom,Portugal,https://selvajariarecords.bandcamp.com/album/um-caminho-sem-retorno,SR003CD002,"One Man Project and his daughter, Death Doom, FFO: My Dying Bride, Paradise Lost"
DEATHLIKE STAB,Knife Murders,CD,24/6/2022,10,in stock,Crossover,Brazil,https://selvajariarecords.bandcamp.com/album/knife-murders,SR004CD003,"D.F.C. Tulio's sinister side project, FFO: DFC, old DRI, SOD"
INCITER,Dark Daggers of Divine Decease,CD,4/12/2022,10,in stock,Thrash,Brazil,https://selvajariarecords.bandcamp.com/album/dark-daggers-of-divine-decease,SR006CD004,"Black Thrash, FFO: old Sepultura, Urn"
GREY WOLF,Blood and Steel,2xCD,11/12/2022,15,in stock,Heavy,Brazil,https://selvajariarecords.bandcamp.com/album/blood-and-steel,SR007CD005,"Raw Heavy, FFO: Running Wild, Manowar, Iron Sword"
TESTEMUNHAS DE JEOVÁ,Reino de Satã,Digipak,10/3/2023,\,sold out,Crossover,Portugal,https://selvajariarecords.bandcamp.com/album/reino-de-sat,SR008CD006,"old school Crossover sang in portuguese, FFO: X-Acto, old DRI, ""Brasil"" RDP "
DARK AGE OF RUIN,False Messiah and the Abstract ,Digipak,19/5/2023,\,sold out,Black,Portugal,https://selvajariarecords.bandcamp.com/album/false-messiah-and-the-abstract,SR012CD010,"Father and son black metal project from the island Azores, FFO: Impaled Nazaren, Mayhem, Tjuder, Immortal"
INSECURITY,Intruder of Reality,Digipak,8/6/2023,12,in stock,Thrash,Chile,https://selvajariarecords.bandcamp.com/album/intruder-of-reality,SR009CD007,"Released in a delux edition in killer 6pgs Digipack and a 12pgs booklet openning as a poster, FFO: ""split image"" Excel / ""among the living"" Anthrax / ""crossover"" DRI / ""the fear"" Acid Rain "
LETALIS,Bestia Oculta,CD,8/6/2023,10,in sotck,Speed,Chile,https://selvajariarecords.bandcamp.com/album/bestia-oculta,SR010CD008,"Fast Speed Metal with female vocals include sticker,  FFO: Agent Steel, Muro, Xandril, Acid, Détente"
VORTIZE,Tienes que Luchar,CD,8/6/2023,10,in stock,Heavy,Chile,https://selvajariarecords.bandcamp.com/album/tienes-que-luchar,SR011CD009,"Traditional Heavy influenced by anime series and 80s spanish heavy/speed metal, FFO: Sable (spa), Obús (spa), EVO (spa)"
"ANIMALESCO, O MÉTODO",S/T,vinyl,29/7/2023,15,in stock,Death,Portugal,https://selvajariarecords.bandcamp.com/album/animalesco-o-m-todo,SR002LP001,"Death with Crust influencies, available in black, blue and red vinyl, FFO: Brutal Truth, Extreme Noise Terror, Napalm Death"
MAZE OF TERROR,Into the Jaws of Terror,CD,20/7/2023,9,in stock,Thrash,Peru,https://selvajariarecords.bandcamp.com/album/into-the-jaws-of-terror,SR013CD011,"Extreme Thrash, FFO: Hypnosia, old Kreator, Sadus, Krisiun, Sarcofago"
MAZE OF TERROR,The Night Where the Evil Prevails,CD,4/9/2023,9,in stock,Thrash,Peru,https://selvajariarecords.bandcamp.com/album/the-night-where-the-evil-prevails,SR014CD012,"Extreme Thrash, FFO: Hypnosia, old Kreator, Sadus, Krisiun, Sarcofago"
VORTIZE,Desde Bajo Tierra,CD,15/9/2023,10,in stock,Heavy,Chile,https://selvajariarecords.bandcamp.com/album/desde-bajo-tierra,SR015CD013,"Traditional Heavy influenced by anime series and 80s spanish heavy/speed metal, FFO: Sable (spa), Obús (spa), EVO (spa)"
CAES DE GUERRA,"Cabras, Cães & Leite de Bode",Vinyl,25/12/2023,16,low stock,Thrash,Portugal,https://selvajariarecords.bandcamp.com/album/cabras-c-es-leite-de-bode,SR005LP002,Thrash 'n' Roll
MEDO/MORDAÇA,L.V.F.S.,Vinyl,1/3/2024,\,sold out,Hardcore,Portugal,https://selvajariarecords.bandcamp.com/album/medo-morda-a-l-v-f-s,SR016LP003,Split between two portuguese hardcore bands
KONAD,The Last Day,Digipak,2/3/2024,10,in stock,Crust,Portugal,https://selvajariarecords.bandcamp.com/album/the-last-day,SR017CD014,"Crust release from the portuguese crust veterans,  FFO: Extreme Noise Terror, The Exploited, Simbiose"
KONAD,The Last Day,Tape,2/3/2024,\,sold out,Crust,Portugal,https://selvajariarecords.bandcamp.com/album/the-last-day,SR017K7001,"Crust release from the portuguese crust veterans,  FFO: Extreme Noise Terror, The Exploited, Simbiose"
SADISTIK WARFARE,Seeds of Hate,Tape,6/9/2024,\,sold out,Thrash,Portugal,https://selvajariarecords.bandcamp.com/album/seeds-of-hate,SR023K7003,"Teotonic Thrash influenced, FFO: Destruction, Protector, Necronomicon, Deathrow, Angel Dust, Iron Angel"
TVMVLO,Portal of Terror,Vinyl,11/11/2024,\,sold out,Death,Portugal,https://selvajariarecords.bandcamp.com/album/portal-of-terror,SR024LP004,"Crushing Death Metal, FFO: Bolt Thrower, Benedictio, old Six Feet Under"
BATTLESCARS/NAGASAKI SUNRISE,Split,CD,17/11/2024,10,low stock,Crust,Portugal,https://selvajariarecords.bandcamp.com/album/split-battlescars-nagasaki-sunrise,SR026CD021,"D-Beat Crust, FFO: Anticimex, Black Uniforms, GISM"
ACROMANIACOS,Sòpròkù,CD,23/11/2024,10,low stock,Hardcore,Portugal,https://selvajariarecords.bandcamp.com/album/s-pr-k,SR020CD017,"6th studio album for the hardcore veterans, FFO: Circle Jerks, DRI, Adolescents, Reagan Youth"
ACROMANIACOS,Sòpròkù,Tape,23/11/2024,\,sold out,Hardcore,Portugal,https://selvajariarecords.bandcamp.com/album/s-pr-k,SR0020K7002,"6th studio album for the hardcore veterans, FFO: Circle Jerks, DRI, Adolescents, Reagan Youth"
INSECURITY,Tales from the Dreaworld,Digipak,7/12/2024,12,in stock,Thrash,Chile,https://selvajariarecords.bandcamp.com/album/tales-from-the-dreamworld,SR019CD016,"Thrash Crossover, FFO:  old Metallica, old Suicidal Tendencies, Excel and Anthrax"
ACROSTIC,Cosmo(A)gonia,CD,20/12/2024,10,in stock,Thrash,Chile,https://selvajariarecords.bandcamp.com/album/cosmo-a-gonia,SR025CD020,"Raw Thrash for the South American thrashers, FFO: Motorhead, Kreator, Venom"
DEKAPITED,Destruccion Trascendental,CD,10/1/2025,12,in stock,Thrash,Chile,https://selvajariarecords.bandcamp.com/album/destruccion-trascendental,SR027CD022,"Pure South American Thrash attack, FFO: Sodom, old Sepultura, Kreator"
DEFEATER,Compilación,CD,31/1/2025,12,in stock,Speed,Chile,https://selvajariarecords.bandcamp.com/album/compilaci-n,SR018CD015,"All discography from the best South American Speed Metal band, FFO: Agent Steel, Acid, Exciter, Hellion"
SPOILED,Collapse,CD,27/2/2025,\,sold out,Thrash,Italy,https://selvajariarecords.bandcamp.com/album/collapse,SR021CD018,"Thrash Crossover, FFO: Nuclear Assault, DRI, RDP, Vitamin X, Raw Power SOD, Iron Reagan"
RAGING SLAYER,Catatonic Symphony,CD,18/3/2025,10,low stock,Thrash,Portugal,https://selvajariarecords.bandcamp.com/album/catatonic-symphony,SR022CD019,"Unashamed homage to the Slayer era from 83 to 88,  with special guest appearance by Lex Thunder ( Toxikull, ex-Midnight Priest ) on vocals,  FFO: old Slayer"
PSYCHO MOSHER,Trapped Into the Madness,CD,15/7/2025,12,in sotck,Thrash,Colombia,https://selvajariarecords.bandcamp.com/album/trapped-into-the-madness-vortex,SR029CD024,"Thrash Crossover, FFO: Suicidal Tendencies, D.F.C. , Municipal Waste, Power Trip, Crisix, Dr Living Dead"
D.F.C.,Sequência Brutal de Estaladas e Biqueirada,CD,3/8/2025,10,in stock,Crossover,Brazil,https://selvajariarecords.bandcamp.com/album/sequ-ncia-brutal-de-estaladas-e-biqueirada,SR028CD023,"Re-issue the 6th album from the cult brazilian Crossover monsters, FFO: RDP, Municipal Waste, DRI, Crippled Fox"
BIOLENCE,Violent Obliteration,CD,1/9/2025,10,in stock,Thrash,Portugal,https://selvajariarecords.bandcamp.com/album/violent-obliteration,SR031CD026,3rd album from the portuguese death thrash masters
POISON THE PREACHER,VS the World,CD,1/11/2025,12,in stock,Crossover,Colombia,https://selvajariarecords.bandcamp.com/album/vs-the-world,SR032CD027,"Mid tempo killing riff machines, FFO: Power Trip, Foreseen, Fugitive, Lowest Creature"
CATACHREST,Target of Ruin,CD,30/1/2026,10,in stock,Thrash,Sweden,https://selvajariarecords.bandcamp.com/album/target-of-ruin,SR034CD028,"Black Thrash, Crust Punk with swedish Crust, FFO: old Bathory, old Voivod"
FATAL EXPOSURE,Bikini Atoll Broadcast,CD,13/2/2026,12,in stock,Crust,Portugal,https://selvajariarecords.bandcamp.com/album/bikini-atoll-broadcast,SR030CD025,"D-Beat, Crust Punk radioactive massacre, FFO: Anticimex, old Venom, Nagasaki Sunrise"
CHAINSAW BLADE,s/t,Tape,27/2/2026,10,in stoack,Punk,Portugal,,SR033K7004,"Raw Punk, Rock debut album, FFO: Clockwork Boys, Turbonegro, Ramones"
